School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
P.S. 114 - BRONX,X,9,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6650000,CIP,X114,1155 CROMWELL AVENUE,Bronx,10472,BRONX,40.828518,-73.856569,209,18,2025696,2037890021,4001,BX0903,"(40.828518, -73.856569)"
P.S. 207 - BROOKLYN,K,22,FLOOD ELIMINATION / EXTERIOR MASONRY / WINDOWS,15800000,CIP,K207,4011 FILLMORE AVENUE,Brooklyn,11203,BROOKLYN,40.642031,-73.931151,317,45,3105680,3047690025,840,BK1702,"(40.642031, -73.931151)"
I.S. 53 - QUEENS,Q,27,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,10877000,CIP,Q053,10-45 NAMEOKE STREET,Queens,11378,QUEENS,40.728735,-73.890699,405,30,4607309,4028020001,49302,QN0501,"(40.728735, -73.890699)"
P.S. 8 - MANHATTAN,M,6,LSP HOT WATER HEATER REPLACEMENT,249000,CIP,M008,465 W 167 STREET,Manhattan,10002,MANHATTAN,40.72154,-73.986648,103,1,1004325,1003550001,3001,MN0302,"(40.72154, -73.986648)"
P.S. 75 - BRONX,X,8,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,498620,CIP,X075,984 FAILE STREET,Bronx,10453,BRONX,40.854872,-73.903458,205,14,2013849,2031700001,23704,BX0503,"(40.854872, -73.903458)"
P.S. 327 - BROOKLYN,K,23,FIRE ALARM REPLACEMENT / ROOFS / PARAPETS / EXTERIOR MASONRY,9865000,CIP,K327,111 BRISTOL STREET,Brooklyn,11224,BROOKLYN,40.574607,-73.996292,313,47,3189517,3070510001,342,BK1302,"(40.574607, -73.996292)"
P.S. 104 - BROOKLYN,K,20,FY23 RESO A OUTDOOR STEM CENTER / PATH OF TRAVEL RESO A OUTDOOR STEM CENTER,410000,CIP,K104,9115 5 AVENUE,Brooklyn,11221,BROOKLYN,40.693879,-73.913056,304,37,3077286,3033770001,435,BK0402,"(40.693879, -73.913056)"
I.S. 5 - QUEENS,Q,24,PUBLIC ADDRESS SYSTEM / HVAC,4710000,CIP,Q005,50-40 JACOBUS STREET,Queens,11433,QUEENS,40.69719,-73.787192,412,27,4216655,4101780001,258,QN1202,"(40.69719, -73.787192)"
I.S. 98 - BRONX,X,12,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,8384000,CIP,X098,1619 BOSTON ROAD,Bronx,10473,BRONX,40.818467,-73.868372,209,18,2021972,2035910050,2001,BX0902,"(40.818467, -73.868372)"
P.S. 503 - BROOKLYN,K,20,CHILLER REPLACEMENT / AHU REPLACEMENT / BMS UPGRADE,9378000,CIP,K314,330 59 STREET,Brooklyn,11225,BROOKLYN,40.665021,-73.959034,309,35,3034356,3013010001,325,BK0901,"(40.665021, -73.959034)"
P.S. 208 - BROOKLYN,K,18,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,380000,CIP,K208,4801 AVENUE D,Brooklyn,11213,BROOKLYN,40.672762,-73.927973,308,36,3036289,3013670022,347,BK0802,"(40.672762, -73.927973)"
P.S. 206 - BROOKLYN,K,22,Addition,59600000,CAP,K206,2200 GRAVESEND NECK ROAD,Brooklyn,11229,BROOKLYN,40.597369,-73.948946,315,48,3201080,3073810201,59403,BK1503,"(40.597369, -73.948946)"
P.S./I.S. 323 - BROOKLYN,K,23,ROOFS / WINDOWS / EXTERIOR MASONRY / PAVED AREA- CONCRETE / PARAPETS,28600000,CIP,K263,210 CHESTER STREET,Brooklyn,11212,BROOKLYN,40.656068,-73.907245,316,42,3082940,3036360007,922,BK1602,"(40.656068, -73.907245)"
AVIATION HS - QUEENS,Q,24,LOW VOLTAGE ELECTRICAL SYSTEMS,1250000,CIP,Q610,45-30 36 STREET,Queens,11375,QUEENS,40.711367,-73.856698,406,29,4447233,4038860800,645,QN0602,"(40.711367, -73.856698)"
I.S. 241 - BRONX,X,9,IPDVS FULL CAMERA UPGRADE / IPDVS INSTALLATION,337000,CIP,X970,1595 BATHGATE AVENUE,Bronx,,,,,,,,,,,
P.S. 234 - MANHATTAN,M,2,FIRE ALARM SYSTEM REPLACEMENT,1200000,CIP,M234,292 GREENWICH STREET,Manhattan,10011,MANHATTAN,40.739178,-73.9955,105,3,1068261,1008187501,54,MN0501,"(40.739178, -73.9955)"
BARD COLLEGE HS - MANHATTAN,M,1,FY18 RESO A AUDITORIUM  UPGRADE,51812,CIP,M097,525 EAST HOUSTON STREET,Manhattan,10010,MANHATTAN,40.736094,-73.980663,106,2,1081671,1009260001,64,MN0602,"(40.736094, -73.980663)"
P.S. 83 - MANHATTAN,M,4,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5984000,CIP,M083,219 EAST 109 STREET,Manhattan,10032,MANHATTAN,40.839305,-73.936159,112,10,1076741,1021120058,249,MN1201,"(40.839305, -73.936159)"
I.S. 228 - BROOKLYN,K,21,LSP FY23 RESO A PLAYGROUND UPGRADE,108000,CIP,K228,228 AVENUE S,Brooklyn,11218,BROOKLYN,40.645017,-73.980761,312,39,3124109,3053230032,498,BK1203,"(40.645017, -73.980761)"
P.S. 21 - BROOKLYN,K,16,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6880000,CIP,K021,180 CHAUNCEY STREET,Brooklyn,11232,BROOKLYN,40.652701,-74.004743,307,38,3346119,3007010001,84,BK0702,"(40.652701, -74.004743)"
